"Incident_ID","HF_SkillError","HF_DecisionError","HF_PerceptionError","HF_Violation","HF_Fatigue","HF_Stress","HF_Medical","HF_Complacency","HF_Distraction","HF_KnowledgeSkill","HF_Experience","HF_Motivation","HF_CRM","HF_ATC_CommError","HF_ATC_InstructionError","HF_ATC_Separation","HF_ATC_InfoLack","HF_ATC_Workload","HF_Maint_Quality","HF_Maint_Pressure","HF_Ground_FuelError","HF_Ground_LoadError","HF_Ground_Damage","HF_Ground_Deicing","HF_Ground_FOD","Tech_SystemFailure","Tech_DesignFlaw","Tech_ManufacturingDefect","Tech_Fire","Env_Icing","Env_Turbulence","Env_WindShear","Env_Thunderstorm","Env_Visibility","Env_Ceiling","Env_SurfaceWind","Env_Temperature","Env_VolcanicAsh","Env_RunwayCondition","Env_AirportLights","Env_NavAids","Env_Obstacles","Env_Terrain","Env_TrafficDensity","Env_AirspaceComplexity","Env_BirdstrikeRisk","Org_ProceduresQuality","Org_PlanningScheduling","Org_Oversight","Org_SMS_Effectiveness","Org_Resources","Org_Pressure","Org_TrainingQuality","Org_MaintOrganization","Org_SafetyCulture","Org_RegulatoryOversight","Ctx_TaskComplexity","Ctx_Workload","Ctx_UnexpectedEvents","Ctx_FlightPhase","Outcome_Severity","Причина(ы) АП"
"Q3_7_Ан-24_15.09.19","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","7","0","Посадка ниже эксплуатационного минимума аэродрома Стрежевой (110х1700)."
"Q1_1_A-320_04.01.20","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","2","0","Взлет ниже эксплуатационного минимума аэродрома по видимости (RVR 100 м < 200 м)."
"Q1_2_A-321_05.01.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","6","0","Сильное обледенение в облаках в слое 300-900 м при заходе на посадку."
"Q1_3_B-737-800_06.01.20","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","7","0","Посадка ниже эксплуатационного минимума аэродрома (вертикальная видимость 80 м < минимума 60х800)."
"Q1_5_A-321_23.01.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","5","0","Поражение ВС разрядом атмосферного электричества в процессе снижения при заходе на посадку (гроза вблизи аэродрома, умеренная турбулентность, умеренное обледенение, сдвиг ветра)."
"Q1_7_B-735_09.02.20","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","7","1","Грубая посадка (касание до ВПП, """"козел"""", повреждение шасси и др.) в сложных метеоусловиях (ливневый снег, метель, ветер с порывами, Ксц 0.38). Причина в отчете не указана."
"Q2_3_CRJ-200_15.05.20","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","6","0","Повреждение ВС разрядом атмосферного электричества из-за попадания в полете в зону с неблагоприятными атмосферными условиями (гроза). Невозможность экипажа оценить грозовую деятельность по данным МРЛС. Недостаточная информация от УВД."
"Q2_4_Ан-124-100_26.05.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","5","0","Воздействие на ВС града и разряда атмосферного электричества, произошедшего рядом с ВС во время пересечения облаков разной полярности, не достигших грозовой стадии."
"Q3_1_ATR-72-212A_08.07.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","6","0","Воздействие на ВС разряда атмосферного электричества в процессе выполнения захода на посадку в облачности в районе аэропорта Сочи (грозовая деятельность)."
"Q3_3_B-737-800_12.07.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","5","0","Поражение разрядом атмосферного электричества из-за повышенной электрической активности атмосферы."
